# native-membership.tsv — the platform's implemented surface (upstream boundary program, batch 5).
# Membership is OURS; the signature text is generated from the pinned checkouts.
# constant	fqn	signatureKey — sorted by fqn, then key.
EXECUTION_PLAN__FUNCTION_DEFINITION_1__EXTENSION_MANY	meta::pure::executionPlan::executionPlan	meta::pure::executionPlan::executionPlan(meta::pure::metamodel::function::FunctionDefinition<meta::pure::metamodel::type::Any>[1],meta::pure::extension::Extension[*])
EXECUTION_PLAN__FUNCTION_DEFINITION_1__MAPPING_1__RUNTIME_1__EXTENSION_MANY	meta::pure::executionPlan::executionPlan	meta::pure::executionPlan::executionPlan(meta::pure::metamodel::function::FunctionDefinition<meta::pure::metamodel::type::Any>[1],meta::pure::mapping::Mapping[1],meta::core::runtime::Runtime[1],meta::pure::extension::Extension[*])
EXECUTION_PLAN__FUNCTION_DEFINITION_1__MAPPING_1__RUNTIME_1__EXTENSION_MANY__DEBUG_CONTEXT_1	meta::pure::executionPlan::executionPlan	meta::pure::executionPlan::executionPlan(meta::pure::metamodel::function::FunctionDefinition<meta::pure::metamodel::type::Any>[1],meta::pure::mapping::Mapping[1],meta::core::runtime::Runtime[1],meta::pure::extension::Extension[*],meta::pure::tools::DebugContext[1])
EXECUTION_PLAN__FUNCTION_DEFINITION_1__MAPPING_1__RUNTIME_1__BOOLEAN_1__EXTENSION_MANY	meta::pure::executionPlan::executionPlan	meta::pure::executionPlan::executionPlan(meta::pure::metamodel::function::FunctionDefinition<meta::pure::metamodel::type::Any>[1],meta::pure::mapping::Mapping[1],meta::core::runtime::Runtime[1],meta::pure::metamodel::type::Boolean[1],meta::pure::extension::Extension[*])
EXECUTION_PLAN__FUNCTION_DEFINITION_1__MAPPING_1__RUNTIME_1__EXECUTION_CONTEXT_1__EXTENSION_MANY	meta::pure::executionPlan::executionPlan	meta::pure::executionPlan::executionPlan(meta::pure::metamodel::function::FunctionDefinition<meta::pure::metamodel::type::Any>[1],meta::pure::mapping::Mapping[1],meta::core::runtime::Runtime[1],meta::pure::runtime::ExecutionContext[1],meta::pure::extension::Extension[*])
EXECUTION_PLAN__FUNCTION_DEFINITION_1__EXECUTION_CONTEXT_1__EXTENSION_MANY	meta::pure::executionPlan::executionPlan	meta::pure::executionPlan::executionPlan(meta::pure::metamodel::function::FunctionDefinition<meta::pure::metamodel::type::Any>[1],meta::pure::runtime::ExecutionContext[1],meta::pure::extension::Extension[*])
WITH_FEATURE_FLAGS__T_MANY__ENUM_MANY	meta::pure::executionPlan::featureFlag::withFeatureFlags	meta::pure::executionPlan::featureFlag::withFeatureFlags(T[*],meta::pure::metamodel::type::Enum[*])
PLAN_TO_STRING__EXECUTION_PLAN_1__EXTENSION_MANY	meta::pure::executionPlan::toString::planToString	meta::pure::executionPlan::toString::planToString(meta::pure::executionPlan::ExecutionPlan[1],meta::pure::extension::Extension[*])
PLAN_TO_STRING_WITHOUT_FORMATTING__EXECUTION_PLAN_1__EXTENSION_MANY	meta::pure::executionPlan::toString::planToStringWithoutFormatting	meta::pure::executionPlan::toString::planToStringWithoutFormatting(meta::pure::executionPlan::ExecutionPlan[1],meta::pure::extension::Extension[*])
ASSERT__BOOLEAN_1	meta::pure::functions::asserts::assert	meta::pure::functions::asserts::assert(meta::pure::metamodel::type::Boolean[1])
ASSERT__BOOLEAN_1__FN_1	meta::pure::functions::asserts::assert	meta::pure::functions::asserts::assert(meta::pure::metamodel::type::Boolean[1],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT__BOOLEAN_1__STRING_1	meta::pure::functions::asserts::assert	meta::pure::functions::asserts::assert(meta::pure::metamodel::type::Boolean[1],meta::pure::metamodel::type::String[1])
ASSERT__BOOLEAN_1__STRING_1__ANY_MANY	meta::pure::functions::asserts::assert	meta::pure::functions::asserts::assert(meta::pure::metamodel::type::Boolean[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_CONTAINS__ANY_MANY__ANY_1	meta::pure::functions::asserts::assertContains	meta::pure::functions::asserts::assertContains(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[1])
ASSERT_CONTAINS__ANY_MANY__ANY_1__FN_1	meta::pure::functions::asserts::assertContains	meta::pure::functions::asserts::assertContains(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_CONTAINS__ANY_MANY__ANY_1__STRING_1	meta::pure::functions::asserts::assertContains	meta::pure::functions::asserts::assertContains(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::String[1])
ASSERT_CONTAINS__ANY_MANY__ANY_1__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertContains	meta::pure::functions::asserts::assertContains(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_EMPTY__ANY_MANY	meta::pure::functions::asserts::assertEmpty	meta::pure::functions::asserts::assertEmpty(meta::pure::metamodel::type::Any[*])
ASSERT_EMPTY__ANY_MANY__FN_1	meta::pure::functions::asserts::assertEmpty	meta::pure::functions::asserts::assertEmpty(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_EMPTY__ANY_MANY__STRING_1	meta::pure::functions::asserts::assertEmpty	meta::pure::functions::asserts::assertEmpty(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::String[1])
ASSERT_EMPTY__ANY_MANY__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertEmpty	meta::pure::functions::asserts::assertEmpty(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_EQ__ANY_1__ANY_1	meta::pure::functions::asserts::assertEq	meta::pure::functions::asserts::assertEq(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Any[1])
ASSERT_EQ__ANY_1__ANY_1__FN_1	meta::pure::functions::asserts::assertEq	meta::pure::functions::asserts::assertEq(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Any[1],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_EQ__ANY_1__ANY_1__STRING_1	meta::pure::functions::asserts::assertEq	meta::pure::functions::asserts::assertEq(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::String[1])
ASSERT_EQ__ANY_1__ANY_1__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertEq	meta::pure::functions::asserts::assertEq(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_EQ_WITHIN_TOLERANCE__NUMBER_1__NUMBER_1__NUMBER_1	meta::pure::functions::asserts::assertEqWithinTolerance	meta::pure::functions::asserts::assertEqWithinTolerance(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1])
ASSERT_EQ_WITHIN_TOLERANCE__N_1__N_1__N_1__FN_1	meta::pure::functions::asserts::assertEqWithinTolerance	meta::pure::functions::asserts::assertEqWithinTolerance(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_EQ_WITHIN_TOLERANCE__N_1__N_1__N_1__STRING_1	meta::pure::functions::asserts::assertEqWithinTolerance	meta::pure::functions::asserts::assertEqWithinTolerance(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::String[1])
ASSERT_EQ_WITHIN_TOLERANCE__N_1__N_1__N_1__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertEqWithinTolerance	meta::pure::functions::asserts::assertEqWithinTolerance(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_EQUALS__ANY_MANY__ANY_MANY	meta::pure::functions::asserts::assertEquals	meta::pure::functions::asserts::assertEquals(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*])
