# native-membership.tsv — the platform's implemented surface (upstream boundary program, batch 5).
# Membership is OURS; the signature text is generated from the pinned checkouts.
# constant	fqn	signatureKey — sorted by fqn, then key.
GREATER_THAN_EQUAL__DATE_0_1__DATE_0_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[0..1])
GREATER_THAN_EQUAL__DATE_0_1__DATE_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[1])
GREATER_THAN_EQUAL__DATE_1__DATE_0_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[0..1])
GREATER_THAN_EQUAL__DATE_1__DATE_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
GREATER_THAN_EQUAL__NUMBER_0_1__NUMBER_0_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::Number[0..1],meta::pure::metamodel::type::Number[0..1])
GREATER_THAN_EQUAL__NUMBER_0_1__NUMBER_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::Number[0..1],meta::pure::metamodel::type::Number[1])
GREATER_THAN_EQUAL__NUMBER_1__NUMBER_0_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[0..1])
GREATER_THAN_EQUAL__NUMBER_1__NUMBER_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1])
GREATER_THAN_EQUAL__STRING_0_1__STRING_0_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[0..1])
GREATER_THAN_EQUAL__STRING_0_1__STRING_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[1])
GREATER_THAN_EQUAL__STRING_1__STRING_0_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[0..1])
GREATER_THAN_EQUAL__STRING_1__STRING_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1])
IS_TRUE__BOOLEAN_01	meta::pure::functions::boolean::isTrue	meta::pure::functions::boolean::isTrue(meta::pure::metamodel::type::Boolean[0..1])
LESS_THAN__BOOLEAN_0_1__BOOLEAN_0_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::Boolean[0..1],meta::pure::metamodel::type::Boolean[0..1])
LESS_THAN__DATE_0_1__DATE_0_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[0..1])
LESS_THAN__DATE_0_1__DATE_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[1])
LESS_THAN__DATE_1__DATE_0_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[0..1])
LESS_THAN__DATE_1__DATE_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
LESS_THAN__NUMBER_0_1__NUMBER_0_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::Number[0..1],meta::pure::metamodel::type::Number[0..1])
LESS_THAN__NUMBER_0_1__NUMBER_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::Number[0..1],meta::pure::metamodel::type::Number[1])
LESS_THAN__NUMBER_1__NUMBER_0_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[0..1])
LESS_THAN__NUMBER_1__NUMBER_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1])
LESS_THAN__STRING_0_1__STRING_0_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[0..1])
LESS_THAN__STRING_0_1__STRING_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[1])
LESS_THAN__STRING_1__STRING_0_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[0..1])
LESS_THAN__STRING_1__STRING_1	meta::pure::functions::boolean::lessThan	meta::pure::functions::boolean::lessThan(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1])
LESS_THAN_EQUAL__BOOLEAN_0_1__BOOLEAN_0_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::Boolean[0..1],meta::pure::metamodel::type::Boolean[0..1])
LESS_THAN_EQUAL__DATE_0_1__DATE_0_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[0..1])
LESS_THAN_EQUAL__DATE_0_1__DATE_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[1])
LESS_THAN_EQUAL__DATE_1__DATE_0_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[0..1])
LESS_THAN_EQUAL__DATE_1__DATE_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
LESS_THAN_EQUAL__NUMBER_0_1__NUMBER_0_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::Number[0..1],meta::pure::metamodel::type::Number[0..1])
LESS_THAN_EQUAL__NUMBER_0_1__NUMBER_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::Number[0..1],meta::pure::metamodel::type::Number[1])
LESS_THAN_EQUAL__NUMBER_1__NUMBER_0_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[0..1])
LESS_THAN_EQUAL__NUMBER_1__NUMBER_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1])
LESS_THAN_EQUAL__STRING_0_1__STRING_0_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[0..1])
LESS_THAN_EQUAL__STRING_0_1__STRING_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[1])
LESS_THAN_EQUAL__STRING_1__STRING_0_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[0..1])
LESS_THAN_EQUAL__STRING_1__STRING_1	meta::pure::functions::boolean::lessThanEqual	meta::pure::functions::boolean::lessThanEqual(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1])
NOT__BOOLEAN_1	meta::pure::functions::boolean::not	meta::pure::functions::boolean::not(meta::pure::metamodel::type::Boolean[1])
OR__BOOLEAN_1__BOOLEAN_1	meta::pure::functions::boolean::or	meta::pure::functions::boolean::or(meta::pure::metamodel::type::Boolean[1],meta::pure::metamodel::type::Boolean[1])
XOR__BOOLEAN_1__BOOLEAN_1	meta::pure::functions::boolean::xor	meta::pure::functions::boolean::xor(meta::pure::metamodel::type::Boolean[1],meta::pure::metamodel::type::Boolean[1])
ADD__T_MANY__T_1	meta::pure::functions::collection::add	meta::pure::functions::collection::add(T[*],T[1])
ADD__T_MANY__INTEGER_1__T_1	meta::pure::functions::collection::add	meta::pure::functions::collection::add(T[*],meta::pure::metamodel::type::Integer[1],T[1])
AND__BOOLEAN_MANY	meta::pure::functions::collection::and	meta::pure::functions::collection::and(meta::pure::metamodel::type::Boolean[*])
AT__T_MANY__INTEGER_1	meta::pure::functions::collection::at	meta::pure::functions::collection::at(T[*],meta::pure::metamodel::type::Integer[1])
CONCATENATE__T_MANY__T_MANY	meta::pure::functions::collection::concatenate	meta::pure::functions::collection::concatenate(T[*],T[*])
CONTAINS__Z_MANY__Z_1__FUNCTION_1	meta::pure::functions::collection::contains	meta::pure::functions::collection::contains(Z[*],Z[1],meta::pure::metamodel::function::Function<{Z[1],Z[1]->meta::pure::metamodel::type::Boolean[1]}>[1])
CONTAINS__ANY_MANY__ANY_1	meta::pure::functions::collection::contains	meta::pure::functions::collection::contains(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[1])
COUNT__ANY_MANY	meta::pure::functions::collection::count	meta::pure::functions::collection::count(meta::pure::metamodel::type::Any[*])
DEFAULT_IF_EMPTY__T_MANY__T_ONEMANY	meta::pure::functions::collection::defaultIfEmpty	meta::pure::functions::collection::defaultIfEmpty(T[*],T[1..*])
DISTINCT__T_MANY	meta::pure::functions::collection::distinct	meta::pure::functions::collection::distinct(T[*])
DROP__T_MANY__INTEGER_1	meta::pure::functions::collection::drop	meta::pure::functions::collection::drop(T[*],meta::pure::metamodel::type::Integer[1])
EXISTS__T_MANY__FUNCTION_1	meta::pure::functions::collection::exists	meta::pure::functions::collection::exists(T[*],meta::pure::metamodel::function::Function<{T[1]->meta::pure::metamodel::type::Boolean[1]}>[1])
FILTER__T_MANY__FUNCTION_1	meta::pure::functions::collection::filter	meta::pure::functions::collection::filter(T[*],meta::pure::metamodel::function::Function<{T[1]->meta::pure::metamodel::type::Boolean[1]}>[1])
FIND__T_MANY__FUNCTION_1	meta::pure::functions::collection::find	meta::pure::functions::collection::find(T[*],meta::pure::metamodel::function::Function<{T[1]->meta::pure::metamodel::type::Boolean[1]}>[1])
FIRST__T_MANY	meta::pure::functions::collection::first	meta::pure::functions::collection::first(T[*])
FOLD__T_MANY__FUNCTION_1__V_m	meta::pure::functions::collection::fold	meta::pure::functions::collection::fold(T[*],meta::pure::metamodel::function::Function<{T[1],V[m]->V[m]}>[1],V[m])
FOR_ALL__T_MANY__FUNCTION_1	meta::pure::functions::collection::forAll	meta::pure::functions::collection::forAll(T[*],meta::pure::metamodel::function::Function<{T[1]->meta::pure::metamodel::type::Boolean[1]}>[1])
MAP_GET__MAP_1__U_1	meta::pure::functions::collection::get	meta::pure::functions::collection::get(meta::pure::functions::collection::Map<U, V>[1],U[1])
GET_ALL__CLASS_1	meta::pure::functions::collection::getAll	meta::pure::functions::collection::getAll(meta::pure::metamodel::type::Class<T>[1])
GET_ALL__CLASS_1__DATE_1	meta::pure::functions::collection::getAll	meta::pure::functions::collection::getAll(meta::pure::metamodel::type::Class<T>[1],meta::pure::metamodel::type::Date[1])
GET_ALL__CLASS_1__DATE_1__DATE_1	meta::pure::functions::collection::getAll	meta::pure::functions::collection::getAll(meta::pure::metamodel::type::Class<T>[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
GET_ALL_FOR_EACH_DATE__CLASS_1__DATE_MANY	meta::pure::functions::collection::getAllForEachDate	meta::pure::functions::collection::getAllForEachDate(meta::pure::metamodel::type::Class<T>[1],meta::pure::metamodel::type::Date[*])
GET_ALL_VERSIONS__CLASS_1	meta::pure::functions::collection::getAllVersions	meta::pure::functions::collection::getAllVersions(meta::pure::metamodel::type::Class<T>[1])
GET_ALL_VERSIONS_IN_RANGE__CLASS_1__DATE_1__DATE_1	meta::pure::functions::collection::getAllVersionsInRange	meta::pure::functions::collection::getAllVersionsInRange(meta::pure::metamodel::type::Class<T>[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
GREATEST__X_MANY	meta::pure::functions::collection::greatest	meta::pure::functions::collection::greatest(X[*])
GREATEST__X_1_MANY	meta::pure::functions::collection::greatest	meta::pure::functions::collection::greatest(X[1..*])
GROUP_BY__X_MANY__FUNCTION_1	meta::pure::functions::collection::groupBy	meta::pure::functions::collection::groupBy(X[*],meta::pure::metamodel::function::Function<{X[1]->K[1]}>[1])
HEAD__T_MANY	meta::pure::functions::collection::head	meta::pure::functions::collection::head(T[*])
IN__ANY_0_1__ANY_MANY	meta::pure::functions::collection::in	meta::pure::functions::collection::in(meta::pure::metamodel::type::Any[0..1],meta::pure::metamodel::type::Any[*])
IN__ANY_1__ANY_MANY	meta::pure::functions::collection::in	meta::pure::functions::collection::in(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Any[*])
INDEX_OF__T_MANY__T_1	meta::pure::functions::collection::indexOf	meta::pure::functions::collection::indexOf(T[*],T[1])
INIT__T_MANY	meta::pure::functions::collection::init	meta::pure::functions::collection::init(T[*])
IS_DISTINCT__T_MANY	meta::pure::functions::collection::isDistinct	meta::pure::functions::collection::isDistinct(T[*])
IS_EMPTY__T_MANY	meta::pure::functions::collection::isEmpty	meta::pure::functions::collection::isEmpty(meta::pure::metamodel::type::Any[*])
IS_NOT_EMPTY__ANY_MANY	meta::pure::functions::collection::isNotEmpty	meta::pure::functions::collection::isNotEmpty(meta::pure::metamodel::type::Any[*])
IS_NOT_EMPTY__ANY_0_1	meta::pure::functions::collection::isNotEmpty	meta::pure::functions::collection::isNotEmpty(meta::pure::metamodel::type::Any[0..1])
KEY_VALUES__MAP_1	meta::pure::functions::collection::keyValues	meta::pure::functions::collection::keyValues(meta::pure::functions::collection::Map<U, V>[1])
MAP_KEYS__MAP_1	meta::pure::functions::collection::keys	meta::pure::functions::collection::keys(meta::pure::functions::collection::Map<U, V>[1])
LAST__T_MANY	meta::pure::functions::collection::last	meta::pure::functions::collection::last(T[*])
LEAST__X_MANY	meta::pure::functions::collection::least	meta::pure::functions::collection::least(X[*])
LEAST__X_1_MANY	meta::pure::functions::collection::least	meta::pure::functions::collection::least(X[1..*])
LIMIT__T_MANY__INTEGER_1	meta::pure::functions::collection::limit	meta::pure::functions::collection::limit(T[*],meta::pure::metamodel::type::Integer[1])
LIST__U_MANY	meta::pure::functions::collection::list	meta::pure::functions::collection::list(U[*])
MAP__T_MANY__FUNCTION_1	meta::pure::functions::collection::map	meta::pure::functions::collection::map(T[*],meta::pure::metamodel::function::Function<{T[1]->V[*]}>[1])
MAP__T_0_1__FUNCTION_1	meta::pure::functions::collection::map	meta::pure::functions::collection::map(T[0..1],meta::pure::metamodel::function::Function<{T[1]->V[0..1]}>[1])
MAP__T_M__FUNCTION_1	meta::pure::functions::collection::map	meta::pure::functions::collection::map(T[m],meta::pure::metamodel::function::Function<{T[1]->V[1]}>[1])
MAX_CMP__T_1_MANY	meta::pure::functions::collection::max	meta::pure::functions::collection::max(T[1..*],meta::pure::metamodel::function::Function<{T[1],T[1]->meta::pure::metamodel::type::Integer[1]}>[1])
MAX_GENERIC__X_MANY	meta::pure::functions::collection::max	meta::pure::functions::collection::max(X[*])
MAX_GENERIC__X_1_MANY	meta::pure::functions::collection::max	meta::pure::functions::collection::max(X[1..*])
MIN_CMP__T_1_MANY	meta::pure::functions::collection::min	meta::pure::functions::collection::min(T[1..*],meta::pure::metamodel::function::Function<{T[1],T[1]->meta::pure::metamodel::type::Integer[1]}>[1])
MIN_GENERIC__X_MANY	meta::pure::functions::collection::min	meta::pure::functions::collection::min(X[*])
MIN_GENERIC__X_1_MANY	meta::pure::functions::collection::min	meta::pure::functions::collection::min(X[1..*])
NEW_MAP__PAIRS	meta::pure::functions::collection::newMap	meta::pure::functions::collection::newMap(meta::pure::functions::collection::Pair<U, V>[*])
OBJECT_REFERENCE_IN__ANY_1__STRING_MANY	meta::pure::functions::collection::objectReferenceIn	meta::pure::functions::collection::objectReferenceIn(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::String[*])
OR__BOOLEAN_MANY	meta::pure::functions::collection::or	meta::pure::functions::collection::or(meta::pure::metamodel::type::Boolean[*])
PAGINATED__T_MANY__INTEGER_1__INTEGER_1	meta::pure::functions::collection::paginated	meta::pure::functions::collection::paginated(T[*],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1])
PAIR__U_1__V_1	meta::pure::functions::collection::pair	meta::pure::functions::collection::pair(U[1],V[1])
MAP_PUT__MAP_1__U_1__V_1	meta::pure::functions::collection::put	meta::pure::functions::collection::put(meta::pure::functions::collection::Map<U, V>[1],U[1],V[1])
MAP_PUT_ALL__MAP_1__MAP_1	meta::pure::functions::collection::putAll	meta::pure::functions::collection::putAll(meta::pure::functions::collection::Map<U, V>[1],meta::pure::functions::collection::Map<U, V>[1])
MAP_PUT_ALL__MAP_1__PAIRS	meta::pure::functions::collection::putAll	meta::pure::functions::collection::putAll(meta::pure::functions::collection::Map<U, V>[1],meta::pure::functions::collection::Pair<U, V>[*])
RANGE__INTEGER_1	meta::pure::functions::collection::range	meta::pure::functions::collection::range(meta::pure::metamodel::type::Integer[1])
RANGE__INTEGER_1__INTEGER_1	meta::pure::functions::collection::range	meta::pure::functions::collection::range(meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1])
RANGE__INTEGER_1__INTEGER_1__INTEGER_1	meta::pure::functions::collection::range	meta::pure::functions::collection::range(meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1])
REMOVE_DUPLICATES__T_MANY	meta::pure::functions::collection::removeDuplicates	meta::pure::functions::collection::removeDuplicates(T[*])
REMOVE_DUPLICATES__T_MANY__FUNCTION_1	meta::pure::functions::collection::removeDuplicates	meta::pure::functions::collection::removeDuplicates(T[*],meta::pure::metamodel::function::Function<{T[1],T[1]->meta::pure::metamodel::type::Boolean[1]}>[1])
REMOVE_DUPLICATES__T_MANY__FUNCTION_0_1__FUNCTION_0_1	meta::pure::functions::collection::removeDuplicates	meta::pure::functions::collection::removeDuplicates(T[*],meta::pure::metamodel::function::Function<{T[1]->V[1]}>[0..1],meta::pure::metamodel::function::Function<{V[1],V[1]->meta::pure::metamodel::type::Boolean[1]}>[0..1])
REMOVE_DUPLICATES_BY__T_MANY__FUNCTION_1	meta::pure::functions::collection::removeDuplicatesBy	meta::pure::functions::collection::removeDuplicatesBy(T[*],meta::pure::metamodel::function::Function<{T[1]->meta::pure::metamodel::type::Any[1]}>[1])
REPEAT__T_1__INTEGER_1	meta::pure::functions::collection::repeat	meta::pure::functions::collection::repeat(T[1],meta::pure::metamodel::type::Integer[1])
REPLACE_TREE_NODE__TREENODE_1__TREENODE_1__TREENODE_1	meta::pure::functions::collection::replaceTreeNode	meta::pure::functions::collection::replaceTreeNode(meta::pure::functions::collection::TreeNode[1],meta::pure::functions::collection::TreeNode[1],meta::pure::functions::collection::TreeNode[1])
REVERSE__T_m	meta::pure::functions::collection::reverse	meta::pure::functions::collection::reverse(T[m])
SIZE__ANY_MANY	meta::pure::functions::collection::size	meta::pure::functions::collection::size(meta::pure::metamodel::type::Any[*])
SLICE__T_MANY__INTEGER_1__INTEGER_1	meta::pure::functions::collection::slice	meta::pure::functions::collection::slice(T[*],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::Integer[1])
SORT__T_m	meta::pure::functions::collection::sort	meta::pure::functions::collection::sort(T[m])
SORT__T_m__FUNCTION_0_1	meta::pure::functions::collection::sort	meta::pure::functions::collection::sort(T[m],meta::pure::metamodel::function::Function<{T[1],T[1]->meta::pure::metamodel::type::Integer[1]}>[0..1])
SORT__T_m__FUNCTION_0_1__FUNCTION_0_1	meta::pure::functions::collection::sort	meta::pure::functions::collection::sort(T[m],meta::pure::metamodel::function::Function<{T[1]->U[1]}>[0..1],meta::pure::metamodel::function::Function<{U[1],U[1]->meta::pure::metamodel::type::Integer[1]}>[0..1])
SORT_BY__T_m__FUNCTION_0_1	meta::pure::functions::collection::sortBy	meta::pure::functions::collection::sortBy(T[m],meta::pure::metamodel::function::Function<{T[1]->U[1]}>[0..1])
SORT_BY_REVERSED__T_m__FUNCTION_0_1	meta::pure::functions::collection::sortByReversed	meta::pure::functions::collection::sortByReversed(T[m],meta::pure::metamodel::function::Function<{T[1]->U[1]}>[0..1])
TAIL__T_MANY	meta::pure::functions::collection::tail	meta::pure::functions::collection::tail(T[*])
TAKE__T_MANY__INTEGER_1	meta::pure::functions::collection::take	meta::pure::functions::collection::take(T[*],meta::pure::metamodel::type::Integer[1])
UNION__T_MANY__T_MANY	meta::pure::functions::collection::union	meta::pure::functions::collection::union(T[*],T[*])
UNIQUE_VALUE_ONLY__T_MANY	meta::pure::functions::collection::uniqueValueOnly	meta::pure::functions::collection::uniqueValueOnly(T[*])
UNIQUE_VALUE_ONLY__T_MANY__T_01	meta::pure::functions::collection::uniqueValueOnly	meta::pure::functions::collection::uniqueValueOnly(T[*],T[0..1])
MAP_VALUES__MAP_1	meta::pure::functions::collection::values	meta::pure::functions::collection::values(meta::pure::functions::collection::Map<U, V>[1])
ZIP__T_MANY__U_MANY	meta::pure::functions::collection::zip	meta::pure::functions::collection::zip(T[*],U[*])
ADD__DATETIME_1__DURATION_1	meta::pure::functions::date::add	meta::pure::functions::date::add(meta::pure::metamodel::type::DateTime[1],meta::pure::functions::date::Duration[1])
ADD__DATE_1__DURATION_1	meta::pure::functions::date::add	meta::pure::functions::date::add(meta::pure::metamodel::type::Date[1],meta::pure::functions::date::Duration[1])
ADD__STRICTDATE_1__DURATION_1	meta::pure::functions::date::add	meta::pure::functions::date::add(meta::pure::metamodel::type::StrictDate[1],meta::pure::functions::date::Duration[1])
ADJUST__DATE_1__INTEGER_1__DURATION_UNIT_1	meta::pure::functions::date::adjust	meta::pure::functions::date::adjust(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Integer[1],meta::pure::functions::date::DurationUnit[1])
CAL_C_Y_MINUS2	meta::pure::functions::date::calendar::CYMinus2	meta::pure::functions::date::calendar::CYMinus2(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_C_Y_MINUS3	meta::pure::functions::date::calendar::CYMinus3	meta::pure::functions::date::calendar::CYMinus3(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_ANNUALIZED	meta::pure::functions::date::calendar::annualized	meta::pure::functions::date::calendar::annualized(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_CME	meta::pure::functions::date::calendar::cme	meta::pure::functions::date::calendar::cme(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_CW	meta::pure::functions::date::calendar::cw	meta::pure::functions::date::calendar::cw(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_CW_FM	meta::pure::functions::date::calendar::cw_fm	meta::pure::functions::date::calendar::cw_fm(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_MTD	meta::pure::functions::date::calendar::mtd	meta::pure::functions::date::calendar::mtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_P12MTD	meta::pure::functions::date::calendar::p12mtd	meta::pure::functions::date::calendar::p12mtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_P12WA	meta::pure::functions::date::calendar::p12wa	meta::pure::functions::date::calendar::p12wa(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_P12WTD	meta::pure::functions::date::calendar::p12wtd	meta::pure::functions::date::calendar::p12wtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_P4WA	meta::pure::functions::date::calendar::p4wa	meta::pure::functions::date::calendar::p4wa(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_P4WTD	meta::pure::functions::date::calendar::p4wtd	meta::pure::functions::date::calendar::p4wtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_P52WA	meta::pure::functions::date::calendar::p52wa	meta::pure::functions::date::calendar::p52wa(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_P52WTD	meta::pure::functions::date::calendar::p52wtd	meta::pure::functions::date::calendar::p52wtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PMA	meta::pure::functions::date::calendar::pma	meta::pure::functions::date::calendar::pma(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PMTD	meta::pure::functions::date::calendar::pmtd	meta::pure::functions::date::calendar::pmtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PQTD	meta::pure::functions::date::calendar::pqtd	meta::pure::functions::date::calendar::pqtd(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PRIOR_DAY	meta::pure::functions::date::calendar::priorDay	meta::pure::functions::date::calendar::priorDay(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
CAL_PRIOR_YEAR	meta::pure::functions::date::calendar::priorYear	meta::pure::functions::date::calendar::priorYear(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Number[0..1])
