fqn	source	demand	corpusDefined	constraints	derived	stereotypes	taggedValues	defaults	escapes	file
meta::external::query::sql::metamodel::WindowFrameMode	legend-engine	corpus	false	enum						/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-pure/src/main/resources/core_external_store_relational_postgres_sql_model/metamodel.pure
meta::external::query::sql::metamodel::With	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-pure/src/main/resources/core_external_store_relational_postgres_sql_model/metamodel.pure
meta::external::query::sql::metamodel::WithQuery	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-pure/src/main/resources/core_external_store_relational_postgres_sql_model/metamodel.pure
meta::external::query::sql::metamodel::extension::AllColumnsReference	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::AsOfJoin	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::BitwiseNotExpression	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::DateLiteral	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::DecimalLiteral	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::ExistsPredicate	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::ExtendedQuerySpecification	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::ExtractFromSemiStructured	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::FreeMarkerOperation	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::InClauseVariablePlaceholder	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::LateralJoin	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::PartialDateLiteral	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::PivotedRelation	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::SemiStructuredArrayElementAccess	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::SemiStructuredArrayFlatten	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::SemiStructuredArrayFlattenOutput	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::SemiStructuredObjectNavigation	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::SemiStructuredPropertyAccess	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::TablePlaceholder	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::TemporalUnit	legend-engine	corpus	false	enum						/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::TimestampLiteral	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::query::sql::metamodel::extension::VariablePlaceholder	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-postgresSql/legend-engine-xt-relationalStore-postgresSqlModel-extensions-pure/src/main/resources/core_external_store_relational_postgres_sql_model_extensions/metamodel_extensions.pure
meta::external::store::model::JsonModelConnection	legend-engine	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/mapping/modelToModel.pure
meta::external::store::model::ModelChainConnection	legend-engine	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/mapping/modelToModel.pure
meta::external::store::model::ModelConnection	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/mapping/modelToModel.pure
meta::external::store::model::ModelStore	legend-engine	corpus	false	0	1	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/mapping/modelToModel.pure
meta::external::store::model::PureInstanceSetImplementation	legend-pure	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::external::store::model::PureModelConnection	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/mapping/modelToModel.pure
meta::external::store::model::PurePropertyMapping	legend-pure	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::external::store::relational::runtime::DatabaseConnection	legend-pure	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-pure/legend-pure-store/legend-pure-store-relational/legend-pure-m2-store-relational-pure/src/main/resources/platform_store_relational/relationalRuntime.pure
meta::external::store::relational::runtime::RelationalDatabaseConnection	legend-engine	java	true	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-core-pure/src/main/resources/core_relational/relational/runtime/connection/connection.pure
meta::external::store::relational::runtime::RelationalQueryGenerationConfig	legend-pure	corpus	false	0	0	1	0	0		/Users/neemsandv/legend/legend-pure/legend-pure-store/legend-pure-store-relational/legend-pure-m2-store-relational-pure/src/main/resources/platform_store_relational/relationalRuntime.pure
meta::external::store::relational::runtime::TestDatabaseConnection	legend-pure	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-pure/legend-pure-store/legend-pure-store-relational/legend-pure-m2-store-relational-pure/src/main/resources/platform_store_relational/relationalRuntime.pure
meta::external::store::relational::sqlDialectTranslation::DbConfig	legend-engine	corpus	false	0	0	0	0	1		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlDialectTranslator.pure
meta::external::store::relational::sqlDialectTranslation::ExpressionPrecedenceComparator	legend-engine	closure	false	0	1	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlDialect.pure
meta::external::store::relational::sqlDialectTranslation::FormatConfig	legend-engine	corpus	false	0	0	0	0	4		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlDialectTranslator.pure
meta::external::store::relational::sqlDialectTranslation::FunctionProcessor	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlDialect.pure
meta::external::store::relational::sqlDialectTranslation::IdentifierProcessor	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlDialect.pure
meta::external::store::relational::sqlDialectTranslation::NodeProcessor	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlDialect.pure
meta::external::store::relational::sqlDialectTranslation::QuoteConfiguration	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlDialect.pure
meta::external::store::relational::sqlDialectTranslation::SqlDialect	legend-engine	corpus	false	0	0	0	0	1		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlDialect.pure
meta::external::store::relational::sqlDialectTranslation::SqlDialectTranslationConfig	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlDialectTranslator.pure
meta::external::store::relational::sqlDialectTranslation::SqlDialectTranslationState	legend-engine	corpus	false	0	2	0	0	2		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlDialectTranslator.pure
meta::external::store::relational::sqlDialectTranslation::functionRegistry::SqlFunction	legend-engine	closure	false	0	0	1	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/functionRegistry/functionRegistry.pure
meta::external::store::relational::sqlDialectTranslation::functionRegistry::SqlFunctionTest	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/functionRegistry/functionRegistry.pure
meta::external::store::relational::sqlDialectTranslation::functionRegistry::SqlFunctionVariation	legend-engine	closure	false	0	1	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/functionRegistry/functionRegistry.pure
meta::external::store::relational::sqlDialectTranslation::sqlTyping::sqlTypes::SqlType	legend-engine	closure	false	0	0	1	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/sqlTyping/sqlTypes.pure
meta::external::store::relational::sqlDialectTranslation::tests::utils::TestSetupData	legend-engine	corpus	true	0	0	0	0	1		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlDialectTranslation-pure/src/main/resources/core_external_store_relational_sql_dialect_translation/utils.pure
meta::external::store::relational::sqlPlanning::SqlPlanningConfig	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-sqlPlanning-pure/src/main/resources/core_external_store_relational_sql_planning/sqlPlanner.pure
meta::json::Config	legend-engine	closure	false	0	2	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/external/format/json/toJSON.pure
meta::json::ExtendedJSONDeserializationConfig	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/external/format/json/fromJSON.pure
meta::json::JSONArray	legend-engine	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-json/legend-engine-pure-functions-json-pure/src/main/resources/core_functions_json/json.pure
meta::json::JSONBoolean	legend-engine	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-json/legend-engine-pure-functions-json-pure/src/main/resources/core_functions_json/json.pure
meta::json::JSONConfig	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-json/legend-engine-pure-functions-json-pure/src/main/resources/core_functions_json/json.pure
meta::json::JSONDeserializationConfig	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-json/legend-engine-pure-functions-json-pure/src/main/resources/core_functions_json/json.pure
meta::json::JSONElement	legend-engine	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-json/legend-engine-pure-functions-json-pure/src/main/resources/core_functions_json/json.pure
meta::json::JSONKeyValue	legend-engine	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-json/legend-engine-pure-functions-json-pure/src/main/resources/core_functions_json/json.pure
meta::json::JSONNull	legend-engine	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-json/legend-engine-pure-functions-json-pure/src/main/resources/core_functions_json/json.pure
meta::json::JSONNumber	legend-engine	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-json/legend-engine-pure-functions-json-pure/src/main/resources/core_functions_json/json.pure
meta::json::JSONObject	legend-engine	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-json/legend-engine-pure-functions-json-pure/src/main/resources/core_functions_json/json.pure
meta::json::JSONState	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/external/format/json/toJSON.pure
meta::json::JSONString	legend-engine	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-json/legend-engine-pure-functions-json-pure/src/main/resources/core_functions_json/json.pure
meta::legend::service::metamodel::Execution	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::legend::service::metamodel::Ownership	legend-engine	closure	false	0	0	1	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::legend::service::metamodel::PostValidation	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::legend::service::metamodel::PostValidationAssertion	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::legend::service::metamodel::PureExecution	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::legend::service::metamodel::PureSingleExecution	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::legend::service::metamodel::Service	legend-engine	corpus	false	3	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::legend::service::metamodel::ServiceTag	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::legend::service::metamodel::SingleExecutionTest	legend-engine	corpus	false	0	0	1	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::legend::service::metamodel::Test	legend-engine	corpus	false	0	0	1	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::legend::service::metamodel::TestContainer	legend-engine	corpus	false	0	0	1	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-xts-service/legend-engine-language-pure-dsl-service-pure/src/main/resources/core_service/service/metamodel.pure
meta::protocols::pure::vX_X_X::metamodel::m3::PackageableElement	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/m3.pure
meta::protocols::pure::vX_X_X::metamodel::m3::PackageableElementPointer	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/pureModelContextData.pure
meta::protocols::pure::vX_X_X::metamodel::m3::PackageableElementType	legend-engine	corpus	false	enum						/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/pureModelContextData.pure
meta::protocols::pure::vX_X_X::metamodel::m3::SourceInformation	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/_extra.pure
meta::protocols::pure::vX_X_X::metamodel::m3::constraint::Constraint	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/m3.pure
meta::protocols::pure::vX_X_X::metamodel::m3::extension::AnnotatedElement	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/m3.pure
meta::protocols::pure::vX_X_X::metamodel::m3::extension::StereotypePtr	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/m3.pure
meta::protocols::pure::vX_X_X::metamodel::m3::extension::TagPtr	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/m3.pure
meta::protocols::pure::vX_X_X::metamodel::m3::extension::TaggedValue	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/m3.pure
meta::protocols::pure::vX_X_X::metamodel::m3::function::LambdaFunction	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/m3.pure
meta::protocols::pure::vX_X_X::metamodel::m3::function::property::AggregationKind	legend-engine	closure	false	enum						/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/m3.pure
meta::protocols::pure::vX_X_X::metamodel::m3::function::property::DefaultValue	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/m3.pure
meta::protocols::pure::vX_X_X::metamodel::m3::function::property::Property	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/protocol/vX_X_X/models/core/m3.pure
