# PROTOCOL-TYPE ROSTER — every @JsonSubTypes tag the pinned engine's protocol jars declare (+ the extension registry),
# COVERED when a source in the engine corpus, the fixtures or our own test snippets reaches it (ProtocolRosterCensusTest).
# THE LEDGER IS THIS FILE: a bump that adds or removes a tag, or moves a tag between COVERED and UNCOVERED, is a reviewed diff. Regenerate: -Droster.generate=1.
adjacencyMatrixAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.AdjacencyMatrixAggregate	UNCOVERED
adjacencyMatrixAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.AdjacencyMatrixAggregation	UNCOVERED
adjacencyMatrixBucket	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.AdjacencyMatrixBucket	UNCOVERED
aggregateMetricDoubleProperty	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.mapping.AggregateMetricDoubleProperty	UNCOVERED
aggregateResultPath	org.finos.legend.engine.protocol.store.elasticsearch.v7.metamodel.tds.AggregateResultPath	UNCOVERED
aggregateValue	org.finos.legend.engine.protocol.pure.v1.model.valueSpecification.ClassInstanceWrapper	UNCOVERED
aggregationAware	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.mapping.aggregationAware.AggregationAwareClassMapping	COVERED
aggregationPipeline	org.finos.legend.engine.protocol.mongodb.schema.metamodel.aggregation.AggregationPipeline	UNCOVERED
aliasedRelation	org.finos.legend.engine.protocol.sql.metamodel.AliasedRelation	UNCOVERED
allColumns	org.finos.legend.engine.protocol.sql.metamodel.AllColumns	UNCOVERED
allocation	org.finos.legend.engine.protocol.pure.v1.model.executionPlan.nodes.AllocationExecutionNode	UNCOVERED
allowDuplicates	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.relational.temporality.updatesHandling.appendStrategy.AllowDuplicates	COVERED
alloy	org.finos.legend.engine.protocol.pure.v1.model.context.AlloySDLC	UNCOVERED
alloySerializationConfig	org.finos.legend.engine.protocol.pure.v1.model.valueSpecification.ClassInstanceWrapper	UNCOVERED
andOperatorExpression	org.finos.legend.engine.protocol.deephaven.metamodel.AndOperatorExpression	UNCOVERED
anyVersion	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.dataset.deduplication.AnyVersion	COVERED
anyVersionDeduplicationStrategy	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.persister.deduplication.AnyVersionDeduplicationStrategy	COVERED
